title,name,rental_duration,standard_quartile
Conversation Downhill,Family,4,1
Twisted Pirates,Children,4,1
Date Speed,Family,4,1
Tramp Others,Comedy,4,1
Detective Vision,Classics,4,1
Doctor Grail,Children,4,1
Donnie Alley,Animation,4,1
Doom Dancing,Comedy,4,1
Double Wrath,Animation,4,1
Duck Racer,Animation,4,1
Dynamite Tarzan,Classics,4,1
Bear Graceland,Children,4,1
Amelie Hellfighters,Music,4,1
Elf Murder,Music,4,1
Finding Anaconda,Family,4,1
Fireball Philadelphia,Comedy,4,1
Birch Antitrust,Music,4,1
Galaxy Sweethearts,Classics,4,1
Gangs Pride,Animation,4,1
Birdcage Casper,Music,4,1
Taxi Kick,Music,4,1
Youth Kick,Music,4,1
Gold River,Comedy,4,1
Gorgeous Bingo,Children,4,1
Hate Handicap,Comedy,4,1
Hocus Frida,Family,4,1
Wizard Coldblooded,Music,4,1
Hope Tootsie,Classics,4,1
Mallrats United,Comedy,4,1
Cabin Flash,Children,4,1
Indian Love,Family,4,1
Ishtar Rocketeer,Animation,4,1
Strangelove Desire,Children,4,1
Jaws Harry,Comedy,4,1
Steel Santa,Classics,4,1
Candidate Perdition,Classics,4,1
Juggler Hardly,Animation,4,1
Jumping Wrath,Children,4,1
Stage World,Comedy,4,1
Knock Warlock,Comedy,4,1
Carol Texas,Animation,4,1
Life Twisted,Comedy,4,1
Spartacus Cheaper,Family,4,1
Loathing Legally,Classics,4,1
Lolita World,Family,4,1
Maker Gables,Children,4,1
Hall Cassidy,Children,5,1
Hanover Galaxy,Music,5,1
Banger Pinocchio,Music,5,1
Apache Divine,Family,5,1
Creepers Kane,Classics,5,1
Uptown Young,Children,5,1
Heavenly Gun,Music,5,1
Sundance Invasion,Children,5,1
Language Cowboy,Children,5,1
Summer Scarface,Classics,5,1
Blues Instinct,Family,5,1
Anthem Luke,Comedy,5,1
Balloon Homeward,Music,5,1
Luke Mummy,Animation,5,1
Submarine Bed,Comedy,5,1
League Hellfighters,Classics,5,1
Splendor Patton,Children,5,1
Comancheros Enemy,Children,5,1
Bound Cheaper,Classics,5,1
Remember Diary,Family,5,1
Sabrina Midnight,Children,5,1
Hyde Doctor,Classics,5,1
Idols Snatchers,Children,5,1
Watch Tracy,Animation,5,1
Splash Gump,Family,5,1
Chisum Behavior,Family,5,1
Closer Bang,Comedy,5,1
Insider Arizona,Music,5,1
Potter Connecticut,Animation,5,1
Invasion Cyclone,Children,5,1
Sister Freddy,Children,5,1
Manchurian Curtain,Family,5,1
Circus Youth,Children,5,1
Jason Trap,Family,5,1
Jawbreaker Brooklyn,Music,5,1
Cat Coneheads,Comedy,5,1
Center Dinosaur,Classics,5,1
Paradise Sabrina,Comedy,5,1
Sleepless Monsoon,Animation,5,1
Zoolander Fiction,Children,5,1
Betrayed Rear,Children,5,1
Falcon Volume,Animation,5,1
Enemy Odds,Music,5,1
Thief Pelican,Animation,5,1
Theory Mermaid,Animation,5,1
Freedom Cleopatra,Comedy,5,1
Frost Head,Classics,5,1
Sling Luke,Classics,5,1
Dying Maker,Comedy,5,1
Dumbo Lust,Family,5,1
Noon Papi,Children,5,1
Terminator Club,Music,5,1
Slums Duck,Family,5,1
Bang Kwai,Family,5,1
Louisiana Harry,Family,5,1
Giant Troopers,Children,5,1
Network Peak,Family,5,1
Gilmore Boiled,Classics,5,1
Mystic Truman,Comedy,5,1
Oleander Clue,Music,5,1
Dorado Notting,Music,5,1
Chocolat Harry,Family,5,1
Dogma Family,Animation,5,1
Super Wyoming,Family,5,1
Greatest North,Music,5,1
Grosse Wonderful,Music,5,1
Daddy Pittsburgh,Comedy,5,1
Gunfight Moon,Comedy,5,1
Crossroads Casualties,Animation,5,1
Sweden Shining,Comedy,6,1
Airplane Sierra,Comedy,6,1
Alaska Phantom,Music,6,1
Alice Fantasia,Classics,6,1
Alter Victory,Animation,6,1
Atlantis Cause,Family,6,1
Bedazzled Married,Family,6,1
Beneath Rush,Children,6,1
Boogie Amelie,Music,6,1
Caper Motions,Comedy,6,1
Clash Freddy,Animation,6,1
Clones Pinocchio,Music,6,1
Clue Grail,Music,6,1
Color Philadelphia,Classics,6,1
Confidential Interview,Music,6,1
Connection Microcosmos,Comedy,6,1
Crooked Frogmen,Children,6,1
Driving Polish,Music,6,1
Early Home,Animation,6,1
Effect Gladiator,Family,6,1
Element Freddy,Comedy,6,1
Extraordinary Conquerer,Classics,6,1
Feud Frogmen,Family,6,1
Floats Garden,Animation,6,1
Flying Hook,Animation,6,1
Full Flatliners,Children,6,1
Ghost Groundhog,Children,6,1
Gladiator Westward,Family,6,1
Groundhog Uncut,Comedy,6,1
Half Outfield,Family,6,1
Holocaust Highball,Children,6,1
Holy Tadpole,Classics,6,1
Homicide Peach,Family,6,1
Hunting Musketeers,Family,6,1
Hurricane Affair,Comedy,6,1
Impact Aladdin,Music,6,1
Inch Jet,Animation,6,1
Jersey Sassy,Children,6,1
Jingle Sagebrush,Classics,6,1
Labyrinth League,Children,6,1
Lawless Vision,Animation,6,1
Lion Uncut,Comedy,6,1
Maguire Apache,Family,6,1
Malkovich Pet,Classics,6,1
Masked Bubble,Music,6,1
Microcosmos Paradise,Children,6,1
Monster Spartacus,Music,6,1
Movie Shakespeare,Family,6,1
Murder Antitrust,Children,6,1
Nash Chocolat,Animation,6,1
October Submarine,Classics,6,1
Odds Boogie,Family,6,1
Pilot Hoosiers,Family,6,1
Polish Brooklyn,Children,6,1
Prejudice Oleander,Classics,6,1
President Bang,Family,6,1
Pride Alamo,Animation,6,1
Punk Divorce,Animation,6,1
Requiem Tycoon,Classics,6,1
Resurrection Silverado,Family,6,1
Runner Madigan,Music,6,1
Rushmore Mermaid,Comedy,6,1
Scalawag Duck,Music,6,1
Snatch Slipper,Comedy,6,1
Soup Wisdom,Family,6,1
Storm Happiness,Animation,6,1
Sunset Racer,Family,6,1
African Egg,Family,6,1
Tadpole Park,Classics,6,1
Telemark Heartbreakers,Animation,6,1
Tequila Past,Children,6,1
Voyage Legally,Classics,6,1
Warlock Werewolf,Children,6,1
Willow Tracy,Family,6,1
Wonka Sea,Animation,6,1
Wrong Behavior,Children,6,1
Shepherd Midsummer,Children,7,1
Siege Madre,Family,7,1
Silence Kane,Music,7,1
Party Knock,Comedy,7,1
Oscar Gold,Animation,7,1
Opposite Necklace,Family,7,1
Operation Operation,Comedy,7,1
Musketeers Wait,Classics,7,1
Wasteland Divine,Classics,7,1
Music Boondock,Family,7,1
Menagerie Rushmore,Animation,7,1
Lucky Flying,Music,7,1
Bringing Hysterical,Comedy,7,1
Lights Deer,Classics,7,1
Spiking Element,Classics,7,1
Spinal Rocky,Family,7,1
Legend Jedi,Music,7,1
Legally Secretary,Children,7,1
Killer Innocent,Family,7,1
Jedi Beneath,Family,7,1
Westward Seabiscuit,Classics,7,1
Island Exorcist,Classics,7,1
Iron Moon,Classics,7,1
House Dynamite,Family,7,1
Hook Chariots,Animation,7,1
Home Pity,Music,7,1
Hollywood Anonymous,Children,7,1
Hedwig Alter,Comedy,7,1
Heaven Freedom,Comedy,7,1
Blackout Private,Animation,7,1
Grease Youth,Family,7,1
Braveheart Human,Family,7,1
Graduate Lord,Children,7,1
Borrowers Bedazzled,Animation,7,1
Gilbert Pelican,Classics,7,1
Ghostbusters Elf,Animation,7,1
Won Dares,Music,7,1
Bikini Borrowers,Animation,7,1
Gandhi Kwai,Family,7,1
Freaky Pocus,Music,7,1
Frankenstein Stranger,Comedy,7,1
Forrester Comancheros,Animation,7,1
Forever Candidate,Children,7,1
Empire Malkovich,Children,7,1
Dracula Crystal,Classics,7,1
Dinosaur Secretary,Family,7,1
Towers Hurricane,Classics,7,1
Desire Alien,Animation,7,1
Trainspotting Strangers,Comedy,7,1
Deer Virginian,Music,7,1
Dares Pluto,Animation,7,1
Cruelty Unforgiven,Classics,7,1
Uncut Suicides,Music,7,1
Crazy Home,Comedy,7,1
Control Anthem,Comedy,7,1
Clockwork Paradise,Children,7,1
Christmas Moonshine,Children,7,1
Chasing Fight,Family,7,1
Chamber Italian,Music,7,1
Volume House,Classics,7,1
Blanket Beverly,Family,7,1
Robbers Joon,Children,7,1
Roman Punk,Music,7,1
Room Roman,Animation,7,1
Right Cranes,Classics,7,1
Canyon Stock,Animation,7,1
Reds Pocus,Music,7,1
Walls Artist,Children,7,1
Rebel Airport,Music,7,1
Saddle Antitrust,Comedy,7,1
Santa Paris,Children,7,1
Saturn Name,Comedy,7,1
Argonauts Town,Animation,7,1
Pond Seattle,Animation,7,1
Perfect Groove,Comedy,7,1
Patient Sister,Classics,7,1
Sensibility Rear,Family,7,1
